,feature,mean_mae_gain,std
0,qt_open_ended,3867.8753352282292,16.16006443264384
3,qt_rating,1212.1410046894462,9.455451854963949
5,avg_answer_choice_length,922.0063538812134,4.272123612918927
1,qt_multiple_selection,524.2131396842157,5.137414404251558
2,qt_single_selection,329.0367046667196,4.167647521275391
6,word_count,276.5672091923838,1.8455749480959052
8,avg_word_length,187.0229184279122,2.3944771852563655
11,readability,181.5692970766492,2.5604975523677
7,prompt_length,177.39870812903365,2.1957262559834674
24,position_in_survey,95.71765876803738,2.1931172430151036
22,starts_with_rate,92.81970823373881,1.0911710291448666
4,num_answer_choices,89.80809319742248,0.7023350475390552
9,pct_big_words,85.96441386981618,0.8498318553744563
20,starts_with_how,64.99767447549785,1.2179823771561689
25,survey_difficulty_score,51.10264743014473,1.061188968731129
23,open_ended_ratio,36.353542552294854,0.66123225261184
10,type_token_ratio,27.530797640711036,0.631124457177898
18,is_complex_prompt,25.68618911555277,0.8688578575550376
26,num_questions_in_survey,24.665128736792532,0.5059761909802984
30,cat_health and wellness,14.805700171986974,0.8624816424545962
17,has_numbers,12.662662259987929,0.3306802535105468
29,cat_food and lifestyle,10.123026583944148,0.43615571849961904
33,cat_sports,10.110198023642443,0.43362202441289877
13,is_personal,9.894009935933491,0.3442812093463326
28,cat_culture and arts,9.792974285649052,0.8697054035672265
32,cat_society,8.375591785009783,0.31740550296619563
31,cat_personal development,6.666826904314666,0.37605667379580293
27,cat_business,6.46670079897176,0.31544528919930276
34,cat_technology,6.103649306269608,0.43711587955569847
16,has_temporal,4.799662189825722,0.3058618939721334
12,has_question_mark,3.046977180168869,0.3627996686485327
14,has_analytical,2.584861017940284,0.18998742862742687
21,starts_with_describe,0.6745888286583067,0.14597715425423505
19,starts_with_why,0.25646385930299403,0.08788099212201735
15,has_negation,-0.07591342663708929,0.0324082565799842
