,pearson,spearman,difference
qt_multiple_selection,-0.03008556259045299,0.21168033835839709,0.2417659009488501
num_answer_choices,-0.3302066961718774,-0.09982798814286521,0.23037870802901222
qt_rating,-0.4164241469552937,-0.543520949996437,0.1270968030411433
qt_open_ended,0.8616409060928929,0.7418727493246507,0.11976815676824215
starts_with_rate,-0.3019710148207507,-0.40194499531335737,0.09997398049260664
has_question_mark,0.11955699226091854,0.21877487816530142,0.09921788590438288
is_complex_prompt,0.010531676172156312,-0.08782908382824825,0.09836076000040456
starts_with_how,-0.19692068611224348,-0.26072909902080327,0.06380841290855979
readability,0.041361692688662015,0.09626011040415113,0.05489841771548911
avg_word_length,-0.03982089336953221,-0.08825275125019635,0.04843185788066414
pct_big_words,-0.014840157882478403,-0.0594703248524685,0.044630166969990094
position_in_survey,0.0698220418319163,0.03334051110024343,0.03648153073167287
order,0.06298094807550977,0.030508561159498754,0.03247238691601102
type_token_ratio,-0.0525473439356154,-0.021867031928593454,0.030680312007021947
starts_with_describe,0.2122727673807464,0.18233089292486507,0.02994187445588134
is_personal,0.10824866352435827,0.1299325603142667,0.021683896789908425
word_count,0.22557146533573558,0.24612953046569067,0.02055806512995509
prompt_length,0.2107606895560111,0.1903877241528443,0.0203729654031668
num_multiple_selection_questions_in_survey,-0.0037232596715854253,0.014179347168163593,0.01790260683974902
avg_answer_choice_length,0.3609029063443104,0.37747187256441117,0.01656896622010079
max_rating,0.009798934181203221,0.02371661461714147,0.013917680435938249
num_rating_questions_in_survey,-0.029782596270616857,-0.04081091907577988,0.011028322805163027
sentiment_subjectivity,-0.011451214054524836,-0.0004620549922160352,0.0109891590623088
cat_business,-0.014499881512091148,-0.025240605841435074,0.010740724329343925
open_ended_ratio,0.09163266911135586,0.0809273064597391,0.010705362651616757
id,0.0008479409334911479,-0.008755694126333808,0.009603635059824955
has_temporal,-0.16012956732163514,-0.1507411715754229,0.009388395746212225
num_open_ended_questions_in_survey,0.058512167891351635,0.05030810730469115,0.008204060586660483
cat_health and wellness,-0.003132758449826951,-0.011252886319798561,0.00812012786997161
has_negation,0.005491812225944351,-0.0011411963495504467,0.006633008575494798
cat_culture and arts,0.003389712807304904,0.009947115631309405,0.006557402824004501
cat_society,0.00832443670244417,0.014118872810860494,0.0057944361084163246
survey_difficulty_score,0.09573722860842121,0.09088417541559196,0.004853053192829249
starts_with_why,0.05028157210521047,0.04588482049477391,0.00439675161043656
sentiment_polarity,0.009482979978573157,0.01353284958643009,0.0040498696078569325
has_numbers,-0.056595881371571996,-0.06062371209579497,0.004027830724222976
has_analytical,0.0617235386944743,0.06506157811033741,0.0033380394158631158
cat_food and lifestyle,-0.004083415332994173,-0.0010322612161980155,0.0030511541167961573
cat_sports,0.00030312225671142123,-0.002559339055298645,0.002862461312010066
num_single_selection_questions_in_survey,-0.03549351417150703,-0.0328782794993455,0.002615234672161529
qt_single_selection,-0.41498351645991305,-0.41262009339687594,0.0023634230630371067
cat_personal development,0.002841671145744154,0.004416908831603372,0.0015752376858592177
num_questions_in_survey,-0.005269023549584375,-0.006820767039153116,0.001551743489568741
num_questions_in_survey_x,-0.005269023549584375,-0.006820767039153116,0.001551743489568741
num_questions_in_survey_y,-0.005269023549584375,-0.006820767039153116,0.001551743489568741
cat_technology,0.004252406894211705,0.005482495774176843,0.001230088879965138
